Number	Radical	Strokes	Meaning	Reading	Position	Frequency	Notes
203	黒	11	black	くろ, kuro		38	
213	亀	11	turtle, tortoise	かめ, kame		9	
	啇	11				12	
71	無	12	have not	むにょう, munyō		15	Variant of 无
202	黍	12	millet	きび, kibi		5	
204	黹	12	embroidery, needlework	ふつ, futsu, 黻		3	
211	歯	12	tooth, molar	は, ha		35	
205	黽	13	frog, amphibian	べん, ben		12	
206	鼎	13	sacrificial tripod	かなえ, kanae		5	
207	鼓	13	drum	つづみ, tsudzumi		11	
208	鼠	13	rat, mouse	ねずみ, nezumi		20	
209	鼻	14	nose	はな, hana		17	
210	齊	14	even, uniformly 	せい, sei, 斉		18	
214	龠	17	flute	やく, yaku		12	
